person_id,name,team_id,team,team_abbreviation,position,rank,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides
485740,Neil El Aynaoui,285023_43872,Morocco,MAR,MF,1,15.0,7.0,0.0,0.0,0.0,0.0
385306,Andres Cubas,285023_43928,Paraguay,PAR,MF,2,14.0,3.0,1.0,0.0,0.0,0.0
484849,Aleksandar Pavlovic,285023_43948,Germany,GER,MF,3,13.0,4.0,1.0,0.0,0.0,0.0
495349,Nicolas Raskin,285023_43935,Belgium,BEL,MF,4,12.0,3.0,0.0,0.0,0.0,0.0
436743,Ermedin Demirovic,285023_44037,Bosnia and Herzegovina,BIH,FW,5,11.0,3.0,1.0,0.0,0.0,1.0
313559,Ricardo Rodriguez,285023_43971,Switzerland,SUI,DF,5,11.0,2.0,0.0,0.0,0.0,0.0
424422,Matias Galarza,285023_43928,Paraguay,PAR,MF,7,10.0,9.0,2.0,0.0,0.0,0.0
473050,Richard Rios,285023_43926,Colombia,COL,MF,7,10.0,4.0,1.0,0.0,0.0,0.0
402047,Adrien Rabiot,285023_43946,France,FRA,MF,9,9.0,3.0,0.0,0.0,0.0,0.0
358122,Thomas Meunier,285023_43935,Belgium,BEL,DF,9,9.0,0.0,0.0,0.0,0.0,0.0
448360,Brandon Mechele,285023_43935,Belgium,BEL,DF,9,9.0,2.0,1.0,0.0,0.0,0.0
393480,Breel Embolo,285023_43971,Switzerland,SUI,FW,9,9.0,11.0,2.0,1.0,1.0,4.0
484320,Lamine Yamal,285023_43969,Spain,ESP,FW,9,9.0,7.0,0.0,0.0,0.0,5.0
431200,Daniel Munoz,285023_43926,Colombia,COL,DF,9,9.0,1.0,0.0,0.0,0.0,3.0
463902,Gustavo Puerta,285023_43926,Colombia,COL,DF,9,9.0,8.0,1.0,0.0,0.0,0.0
479601,Juan Jose Caceres,285023_43928,Paraguay,PAR,DF,9,9.0,6.0,1.0,0.0,0.0,0.0
461788,Marawan Attia,285023_43855,Egypt,EGY,MF,17,8.0,1.0,2.0,0.0,0.0,0.0
431696,Richie Laryea,285023_43899,Canada,CAN,DF,17,8.0,13.0,1.0,0.0,0.0,1.0
480322,Luc De Fougerolles,285023_43899,Canada,CAN,DF,17,8.0,8.0,2.0,0.0,0.0,0.0
448598,Ismael Saibari,285023_43872,Morocco,MAR,MF,17,8.0,3.0,0.0,0.0,0.0,3.0
433076,Samuel Moutoussamy,285023_20014,Congo DR,COD,MF,17,8.0,1.0,1.0,0.0,0.0,0.0
390259,Weston Mckennie,285023_43921,USA,USA,MF,17,8.0,2.0,1.0,0.0,0.0,0.0
416081,Julian Alvarez,285023_43922,Argentina,ARG,FW,17,8.0,2.0,0.0,0.0,0.0,2.0
419062,Chris Richards,285023_43921,USA,USA,DF,17,8.0,3.0,1.0,0.0,0.0,0.0
418729,Carlos Harvey,285023_43914,Panama,PAN,DF,17,8.0,3.0,1.0,0.0,0.0,0.0
