person_id,name,team_id,team,team_abbreviation,position,rank,avg_speed,speed_runs,sprints,total_distance
419068,Giovanni Reyna,285023_43921,USA,USA,MF,1,8.06,315.0,71.0,19203.54
523097,Alexandr Sojka,285023_43995,Czechia,CZE,MF,2,8.04,321.0,108.0,19628.07
419302,Abdullah Alhamddan,285023_43835,Saudi Arabia,KSA,FW,3,7.86,170.0,70.0,10726.97
416652,Jesse Randall,285023_43978,New Zealand,NZL,FW,4,7.8,113.0,69.0,9324.27
502946,Benjamin Nygren,285023_43970,Sweden,SWE,MF,5,7.73,282.0,104.0,18972.62
430733,Mikel Merino,285023_43969,Spain,ESP,MF,6,7.67,398.0,94.0,22183.92
484849,Aleksandar Pavlovic,285023_43948,Germany,GER,MF,7,7.64,597.0,165.0,38018.1
448411,Jacob Shaffelburg,285023_43899,Canada,CAN,MF,8,7.63,202.0,106.0,15826.53
430097,Ryan Christie,285023_43967,Scotland,SCO,MF,9,7.62,208.0,53.0,14260.28
436537,Musab Aljuwayr,285023_43835,Saudi Arabia,KSA,MF,10,7.55,326.0,85.0,20967.44
430120,Mert Muldur,285023_43972,Türkiye,TUR,DF,11,7.5,145.0,57.0,15133.29
336459,Rani Khedira,285023_43888,Tunisia,TUN,MF,12,7.49,218.0,49.0,18577.38
355775,Jackson Irvine,285023_43976,Australia,AUS,MF,13,7.47,495.0,125.0,31483.15
431230,Noor Alrawabdeh,285023_43820,Jordan,JOR,MF,14,7.46,635.0,142.0,38422.0
483161,Mostafa Zico,285023_43855,Egypt,EGY,MF,15,7.41,726.0,225.0,49154.47
336641,Ryan Thomas,285023_43978,New Zealand,NZL,MF,16,7.4,216.0,78.0,13002.61
498421,Paul Okon Engstler,285023_43976,Australia,AUS,MF,17,7.39,365.0,108.0,25987.7
396950,Mahmoud Almardi,285023_43820,Jordan,JOR,FW,18,7.38,328.0,87.0,18861.43
499912,Sebastian Berhalter,285023_43921,USA,USA,MF,19,7.36,443.0,111.0,28137.58
484051,Kenny Mclean,285023_43967,Scotland,SCO,MF,20,7.3,188.0,56.0,16438.49
411443,Timothy Castagne,285023_43935,Belgium,BEL,DF,21,7.29,844.0,335.0,65175.17
498514,Ali Azaizeh,285023_43820,Jordan,JOR,FW,22,7.27,129.0,40.0,9229.12
433426,Soufiane Rahimi,285023_43872,Morocco,MAR,FW,23,7.27,317.0,137.0,25328.44
494458,Ngalayel Mukau,285023_20014,Congo DR,COD,MF,24,7.25,383.0,105.0,26619.43
390209,Sarpreet Singh,285023_43978,New Zealand,NZL,MF,25,7.24,381.0,118.0,27406.52
390196,Callum Mccowatt,285023_43978,New Zealand,NZL,MF,26,7.24,334.0,110.0,20963.57
423646,Pedri,285023_43969,Spain,ESP,MF,27,7.22,802.0,234.0,56778.78
419082,Ricardo Pepi,285023_43921,USA,USA,FW,28,7.21,366.0,148.0,27870.91
485655,Michael Olise,285023_43946,France,FRA,FW,29,7.2,788.0,299.0,64306.23
433076,Samuel Moutoussamy,285023_20014,Congo DR,COD,MF,30,7.17,613.0,169.0,42992.72
433361,Anis Slimane,285023_43888,Tunisia,TUN,MF,31,7.16,408.0,123.0,30657.94
433668,Michal Sadilek,285023_43995,Czechia,CZE,MF,32,7.16,385.0,125.0,24212.55
430605,Bruno Guimaraes,285023_43924,Brazil,BRA,MF,33,7.16,739.0,158.0,54744.12
442434,Lewis Ferguson,285023_43967,Scotland,SCO,MF,34,7.16,451.0,119.0,36575.01
433635,Stephen Eustaquio,285023_43899,Canada,CAN,MF,35,7.14,897.0,210.0,52496.91
448149,Teun Koopmeiners,285023_43960,Netherlands,NED,MF,36,7.14,228.0,57.0,16774.64
403319,Nasser Aldawsari,285023_43835,Saudi Arabia,KSA,MF,37,7.14,499.0,150.0,28038.3
433787,Scott Mctominay,285023_43967,Scotland,SCO,MF,38,7.12,483.0,135.0,36353.67
