person_id,name,team,team_abbreviation,rank,goals,assists,attempt_at_goal,attempt_at_goal_on_target,attempt_at_goal_off_target,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,goals_conceded,attempt_at_goal_outside_the_penalty_area,headed_attempt_at_goal,xg,xg_goal_effiency_rate,corners,possession
285023_43922,Argentina,Argentina,ARG,1,17,10,98,41,40,17,58,0.0,40,18,13.9,1.22x,31,55
285023_43946,France,France,FRA,2,16,14,110,47,45,15,61,1.0,49,10,13.31,1.2x,41,53
285023_43935,Belgium,Belgium,BEL,3,14,10,112,35,43,13,74,1.0,38,16,10.62,1.32x,24,46
285023_43942,England,England,ENG,4,13,10,94,39,34,14,71,0.0,23,24,12.23,1.06x,35,52
285023_43961,Norway,Norway,NOR,4,13,10,65,30,25,20,52,1.0,13,13,9.93,1.31x,29,49
285023_43960,Netherlands,Netherlands,NED,6,11,10,46,22,15,24,35,2.0,11,14,5.0,2.2x,18,50
285023_43921,USA,USA,USA,6,11,4,59,19,24,19,47,1.0,12,12,6.37,1.73x,26,52
285023_43948,Germany,Germany,GER,6,11,10,74,28,26,15,48,1.0,26,12,8.64,1.27x,34,56
285023_43969,Spain,Spain,ESP,6,11,8,110,40,47,10,66,0.0,44,16,12.75,0.86x,44,60
285023_43971,Switzerland,Switzerland,SUI,10,10,6,74,30,28,14,50,1.0,24,7,9.59,1.04x,28,49
285023_43924,Brazil,Brazil,BRA,10,10,8,73,29,24,14,50,1.0,23,11,10.88,0.92x,27,48
285023_43879,Senegal,Senegal,SEN,10,10,9,68,22,32,15,38,3.0,30,7,7.22,1.38x,22,49
285023_43872,Morocco,Morocco,MAR,10,10,9,69,26,23,14,39,1.0,30,10,6.57,1.52x,30,53
285023_43911,Mexico,Mexico,MEX,10,10,7,70,21,32,14,44,0.0,26,13,8.1,1.23x,19,48
285023_43899,Canada,Canada,CAN,15,9,3,81,32,29,11,57,1.0,24,16,9.02,1x,50,46
285023_43819,Japan,Japan,JPN,16,8,7,32,11,15,25,16,2.0,16,5,3.17,2.52x,13,42
285023_43855,Egypt,Egypt,EGY,16,8,8,67,19,30,12,42,1.0,25,10,5.75,1.39x,26,46
285023_43963,Portugal,Portugal,POR,16,8,4,62,17,31,13,40,0.0,22,8,6.39,1.25x,22,53
285023_43970,Sweden,Sweden,SWE,19,7,6,48,23,18,15,30,1.0,18,8,4.66,1.5x,18,43
285023_43938,Croatia,Croatia,CRO,20,6,5,37,17,14,16,21,0.0,16,8,3.41,1.76x,12,46
285023_43934,Austria,Austria,AUT,20,6,4,31,8,18,19,19,0.0,12,7,3.88,1.55x,10,41
285023_20014,Congo DR,Congo DR,COD,22,5,3,41,10,25,12,18,0.0,23,5,3.71,1.35x,13,37
285023_43926,Colombia,Colombia,COL,22,5,5,94,31,40,5,55,0.0,39,13,7.32,0.68x,24,53
285023_43854,Côte d'Ivoire,Côte d'Ivoire,CIV,22,5,4,45,14,17,11,30,0.0,15,3,5.5,0.91x,26,45
285023_44037,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,22,5,3,37,14,14,14,16,1.0,21,5,2.04,2.45x,15,40
285023_43843,Algeria,Algeria,ALG,22,5,3,44,16,16,11,26,1.0,18,5,4.73,1.06x,14,56
285023_43978,New Zealand,New Zealand,NZL,27,4,3,31,15,8,13,19,2.0,12,6,2.48,1.62x,10,42
285023_43850,Cabo Verde,Cabo Verde,CPV,27,4,2,49,12,21,8,20,0.0,29,6,2.56,1.56x,17,35
285023_43820,Jordan,Jordan,JOR,29,3,3,24,9,9,13,13,0.0,11,3,1.87,1.6x,6,29
285023_43928,Paraguay,Paraguay,PAR,29,3,3,35,8,18,9,17,4.0,18,4,1.99,1.51x,10,27
285023_43930,Uruguay,Uruguay,URU,29,3,1,49,13,25,6,27,1.0,22,15,3.95,0.76x,26,51
285023_43817,IR Iran,IR Iran,IRN,29,3,1,37,10,15,8,26,2.0,11,7,4.57,0.66x,8,37
285023_43972,Türkiye,Türkiye,TUR,29,3,2,70,14,35,4,37,2.0,33,7,5.5,0.55x,22,58
285023_43976,Australia,Australia,AUS,29,3,1,42,13,19,7,26,0.0,16,6,2.73,1.1x,16,35
285023_43995,Czechia,Czechia,CZE,35,2,2,34,8,15,6,22,2.0,12,10,2.44,0.82x,15,37
285023_43908,Haiti,Haiti,HAI,35,2,1,31,7,15,6,16,1.0,15,5,1.62,1.24x,9,42
285023_43834,Qatar,Qatar,QAT,35,2,1,17,6,10,12,10,1.0,7,2,1.88,1.06x,9,31
285023_43860,Ghana,Ghana,GHA,35,2,2,23,3,10,9,12,0.0,11,3,2.34,0.85x,8,34
285023_43883,South Africa,South Africa,RSA,35,2,1,39,11,18,5,13,2.0,26,5,2.48,0.8x,11,46
285023_43927,Ecuador,Ecuador,ECU,35,2,2,53,20,26,4,35,1.0,18,12,5.88,0.34x,25,52
285023_43888,Tunisia,Tunisia,TUN,35,2,2,18,6,8,11,6,5.0,12,4,1.12,1.78x,9,36
285023_43822,Korea Republic,Korea Republic,KOR,35,2,2,32,11,13,6,21,1.0,11,9,3.38,0.59x,12,56
285023_44005,Uzbekistan,Uzbekistan,UZB,35,2,1,18,5,8,11,10,0.0,8,2,1.71,1.17x,9,35
285023_43967,Scotland,Scotland,SCO,44,1,0,29,7,12,3,23,0.0,6,6,2.34,0.43x,12,41
285023_1895293,Curaçao,Curaçao,CUW,44,1,0,29,7,18,3,14,7.0,15,4,1.7,0.59x,5,32
285023_43818,Iraq,Iraq,IRQ,44,1,1,21,2,13,5,12,4.0,9,6,2.11,0.47x,7,37
