person_id,name,team,team_abbreviation,rank,own_goals,goals_conceded,forced_turnovers,ball_recovery_time,defensive_pressures_applied,direct_defensive_pressures_applied
285023_43834,Qatar,Qatar,QAT,1,2,10,101,60.48,832,122
285023_43855,Egypt,Egypt,EGY,1,2,7,224,82.81,1360,238
285023_43976,Australia,Australia,AUS,3,1,3,174,74.09,1229,162
285023_43888,Tunisia,Tunisia,TUN,3,1,12,109,69.13,802,131
285023_43928,Paraguay,Paraguay,PAR,3,1,6,249,88.79,1689,331
285023_43835,Saudi Arabia,Saudi Arabia,KSA,3,1,5,128,53.18,1035,140
285023_43872,Morocco,Morocco,MAR,3,1,6,262,82.47,1436,301
285023_43820,Jordan,Jordan,JOR,3,1,8,139,68.21,1148,166
285023_43971,Switzerland,Switzerland,SUI,3,1,6,285,84.65,1581,281
285023_43818,Iraq,Iraq,IRQ,3,1,12,122,61.26,851,155
285023_44005,Uzbekistan,Uzbekistan,UZB,3,1,11,135,50.0,944,142
285023_43850,Cabo Verde,Cabo Verde,CPV,3,1,5,191,76.43,1252,166
285023_43969,Spain,Spain,ESP,13,0,1,289,69.44,1332,199
285023_43967,Scotland,Scotland,SCO,13,0,4,107,70.31,775,109
285023_43914,Panama,Panama,PAN,13,0,4,147,46.44,753,175
285023_43924,Brazil,Brazil,BRA,13,0,4,186,96.34,1338,214
285023_43935,Belgium,Belgium,BEL,13,0,7,263,91.79,1582,227
285023_43926,Colombia,Colombia,COL,13,0,1,194,71.88,1088,191
285023_43946,France,France,FRA,13,0,2,249,87.86,1339,221
285023_43911,Mexico,Mexico,MEX,13,0,3,178,73.86,1065,177
285023_43822,Korea Republic,Korea Republic,KOR,13,0,3,106,44.64,563,86
285023_43978,New Zealand,New Zealand,NZL,13,0,10,118,47.94,844,140
285023_43961,Norway,Norway,NOR,13,0,11,193,99.36,1419,231
285023_43908,Haiti,Haiti,HAI,13,0,8,113,49.18,810,143
285023_43879,Senegal,Senegal,SEN,13,0,9,165,68.01,1055,170
285023_43860,Ghana,Ghana,GHA,13,0,3,156,89.73,1160,183
285023_43972,Türkiye,Türkiye,TUR,13,0,5,121,29.94,490,123
285023_43948,Germany,Germany,GER,13,0,5,189,49.48,915,187
285023_43995,Czechia,Czechia,CZE,13,0,6,119,56.67,857,121
285023_44037,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,13,0,8,168,53.83,998,157
285023_43934,Austria,Austria,AUT,13,0,9,150,83.93,1220,209
285023_43899,Canada,Canada,CAN,13,0,6,228,66.43,1183,228
285023_43963,Portugal,Portugal,POR,13,0,3,188,81.25,1282,161
285023_43817,IR Iran,IR Iran,IRN,13,0,3,132,47.85,874,148
285023_43942,England,England,ENG,13,0,6,210,88.8,1388,254
285023_43938,Croatia,Croatia,CRO,13,0,7,149,70.2,1011,174
285023_43921,USA,USA,USA,13,0,8,220,65.83,1076,216
285023_43922,Argentina,Argentina,ARG,13,0,6,258,92.96,1421,253
285023_43819,Japan,Japan,JPN,13,0,5,139,80.59,1118,191
285023_43970,Sweden,Sweden,SWE,13,0,10,150,72.94,859,150
285023_43930,Uruguay,Uruguay,URU,13,0,4,133,40.21,745,130
285023_43843,Algeria,Algeria,ALG,13,0,9,181,60.22,1015,152
285023_43927,Ecuador,Ecuador,ECU,13,0,4,176,53.67,925,205
285023_43854,Côte d'Ivoire,Côte d'Ivoire,CIV,13,0,4,176,70.71,1123,188
285023_43960,Netherlands,Netherlands,NED,13,0,5,165,65.67,939,143
285023_1895293,Curaçao,Curaçao,CUW,13,0,9,121,56.6,983,160
285023_43883,South Africa,South Africa,RSA,13,0,4,158,73.07,1081,166
285023_20014,Congo DR,Congo DR,COD,13,0,5,172,85.2,1234,179
