person_id,name,team,team_abbreviation,rank,passes,passing_accuracy_rate,crosses,crossing_accuracy_rate,linebreaks_attempted_defensive_line,linebreak_attempted_defensive_line_rate,attempted_switches_of_play,switches_of_play_rate
285023_43922,Argentina,Argentina,ARG,1,4162,91,82,34,108,60,28,93
285023_43969,Spain,Spain,ESP,2,4075,91,146,21,156,67,38,97
285023_43872,Morocco,Morocco,MAR,3,3665,88,99,24,110,52,26,85
285023_43946,France,France,FRA,4,3369,90,99,16,132,67,31,97
285023_43971,Switzerland,Switzerland,SUI,5,3231,87,122,16,152,47,34,82
285023_43942,England,England,ENG,6,3126,90,147,28,162,65,41,78
285023_43961,Norway,Norway,NOR,7,3114,88,87,29,95,42,16,69
285023_43935,Belgium,Belgium,BEL,8,3081,86,133,28,138,51,30,77
285023_43963,Portugal,Portugal,POR,9,2946,90,94,27,123,54,42,81
285023_43926,Colombia,Colombia,COL,10,2789,87,82,27,98,43,56,91
285023_43924,Brazil,Brazil,BRA,11,2742,90,89,24,107,55,24,96
285023_43948,Germany,Germany,GER,12,2721,90,108,22,81,56,14,71
285023_43855,Egypt,Egypt,EGY,13,2654,87,83,20,112,53,41,90
285023_43843,Algeria,Algeria,ALG,14,2641,90,39,21,76,55,30,93
285023_43921,USA,USA,USA,15,2606,86,90,26,140,60,27,81
285023_43879,Senegal,Senegal,SEN,16,2248,88,90,28,98,57,31,90
285023_43911,Mexico,Mexico,MEX,17,2175,87,91,26,89,42,28,89
285023_43899,Canada,Canada,CAN,18,2098,82,158,24,119,55,18,83
285023_43960,Netherlands,Netherlands,NED,19,2039,88,79,27,78,60,11,82
285023_43927,Ecuador,Ecuador,ECU,20,1985,86,88,25,93,44,10,90
285023_43854,Côte d'Ivoire,Côte d'Ivoire,CIV,21,1970,88,78,24,85,53,13,92
285023_43938,Croatia,Croatia,CRO,22,1901,87,66,21,77,51,22,82
285023_43883,South Africa,South Africa,RSA,23,1855,85,36,17,63,41,27,85
285023_43822,Korea Republic,Korea Republic,KOR,24,1853,89,64,28,65,60,21,86
285023_43972,Türkiye,Türkiye,TUR,25,1844,87,84,14,75,60,30,73
285023_43934,Austria,Austria,AUT,26,1827,85,62,23,72,58,8,75
285023_43819,Japan,Japan,JPN,27,1733,86,62,26,74,47,12,67
285023_43976,Australia,Australia,AUS,28,1647,81,70,27,76,47,21,62
285023_44037,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,29,1618,81,59,17,53,43,17,76
285023_43970,Sweden,Sweden,SWE,30,1569,82,62,19,75,45,13,85
285023_43850,Cabo Verde,Cabo Verde,CPV,31,1555,82,51,27,58,34,22,64
285023_20014,Congo DR,Congo DR,COD,32,1470,81,64,22,70,36,18,78
285023_43930,Uruguay,Uruguay,URU,33,1445,87,87,21,74,64,19,95
285023_43860,Ghana,Ghana,GHA,34,1397,84,48,21,61,43,23,78
285023_43967,Scotland,Scotland,SCO,35,1377,87,53,34,45,40,17,71
285023_43928,Paraguay,Paraguay,PAR,36,1360,69,47,17,71,25,18,83
285023_43978,New Zealand,New Zealand,NZL,37,1335,83,37,19,54,22,8,75
285023_43914,Panama,Panama,PAN,38,1259,83,58,21,54,43,27,70
285023_43835,Saudi Arabia,Saudi Arabia,KSA,39,1175,78,22,23,53,40,12,67
285023_43818,Iraq,Iraq,IRQ,40,1129,81,24,29,48,44,14,79
285023_43995,Czechia,Czechia,CZE,41,1102,79,50,32,45,38,12,75
285023_43908,Haiti,Haiti,HAI,42,1098,85,42,24,42,40,13,100
285023_44005,Uzbekistan,Uzbekistan,UZB,43,1059,78,34,18,51,27,17,76
285023_43817,IR Iran,IR Iran,IRN,44,1051,77,40,23,50,46,14,79
285023_43888,Tunisia,Tunisia,TUN,45,1011,80,35,23,40,38,21,71
285023_1895293,Curaçao,Curaçao,CUW,46,968,80,21,29,40,40,7,100
285023_43820,Jordan,Jordan,JOR,47,914,76,31,32,52,52,11,73
285023_43834,Qatar,Qatar,QAT,48,912,78,28,36,71,27,11,91
