person_id,name,team,team_abbreviation,rank,offers_to_receive_total,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,receptions_in_behind,receptions_between_midfield_and_defensive_line,receptions_under_pressure
285023_43969,Spain,Spain,ESP,1,2993,863,1063,1067,1748,1245,99,904,1351
285023_43942,England,England,ENG,2,2566,633,876,1057,1432,1134,102,566,1076
285023_43922,Argentina,Argentina,ARG,3,2541,669,919,953,1375,1166,64,691,1315
285023_43872,Morocco,Morocco,MAR,4,2397,679,865,853,1358,1039,61,589,1280
285023_43935,Belgium,Belgium,BEL,5,2261,739,806,716,1245,1016,67,676,1092
285023_43926,Colombia,Colombia,COL,6,2159,618,848,693,1018,1141,52,511,906
285023_43961,Norway,Norway,NOR,7,2140,455,946,739,1120,1020,44,674,1123
285023_43971,Switzerland,Switzerland,SUI,8,2111,590,829,692,1233,878,76,627,1120
285023_43911,Mexico,Mexico,MEX,9,2034,541,844,649,1076,958,40,505,834
285023_43946,France,France,FRA,10,2020,594,651,775,1107,913,90,675,1096
285023_43855,Egypt,Egypt,EGY,11,1963,437,745,781,929,1034,51,451,869
285023_43924,Brazil,Brazil,BRA,12,1952,501,746,705,1112,840,55,462,828
285023_43921,USA,USA,USA,13,1913,550,738,625,1040,873,78,525,993
285023_43963,Portugal,Portugal,POR,14,1881,553,759,569,1021,860,63,579,988
285023_43843,Algeria,Algeria,ALG,15,1621,477,637,507,905,716,38,379,888
285023_43948,Germany,Germany,GER,16,1591,440,631,520,849,742,45,550,942
285023_43899,Canada,Canada,CAN,17,1589,533,576,480,790,799,72,540,929
285023_43879,Senegal,Senegal,SEN,18,1486,462,526,498,866,620,54,460,988
285023_43819,Japan,Japan,JPN,19,1479,392,576,511,872,607,33,324,574
285023_43927,Ecuador,Ecuador,ECU,20,1308,320,514,474,699,609,39,422,713
285023_43972,Türkiye,Türkiye,TUR,21,1275,409,428,438,681,594,41,378,709
285023_43850,Cabo Verde,Cabo Verde,CPV,22,1243,323,559,361,624,619,19,291,663
285023_43938,Croatia,Croatia,CRO,23,1238,402,442,394,682,556,33,323,645
285023_20014,Congo DR,Congo DR,COD,24,1237,342,542,353,730,507,22,323,636
285023_43934,Austria,Austria,AUT,25,1234,323,486,425,686,548,48,382,789
285023_43883,South Africa,South Africa,RSA,26,1212,359,458,395,669,543,29,283,634
285023_43822,Korea Republic,Korea Republic,KOR,27,1201,267,427,507,657,544,40,274,678
285023_43960,Netherlands,Netherlands,NED,28,1195,409,376,410,713,482,47,380,642
285023_43930,Uruguay,Uruguay,URU,29,1182,436,399,347,599,583,45,311,586
285023_43854,Côte d'Ivoire,Côte d'Ivoire,CIV,30,1112,326,480,306,589,523,46,424,861
285023_43970,Sweden,Sweden,SWE,31,1065,285,427,353,611,454,35,338,620
285023_43978,New Zealand,New Zealand,NZL,32,1062,263,471,328,559,503,14,267,563
285023_43967,Scotland,Scotland,SCO,33,1040,231,400,409,558,482,15,230,430
285023_43976,Australia,Australia,AUS,34,1039,245,465,329,546,493,39,360,839
285023_43888,Tunisia,Tunisia,TUN,35,1000,287,448,265,547,453,18,196,405
285023_44037,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,36,986,286,356,344,497,489,22,257,676
285023_43818,Iraq,Iraq,IRQ,37,955,300,391,264,548,407,22,172,430
285023_43914,Panama,Panama,PAN,38,889,239,366,284,418,471,28,248,532
285023_43908,Haiti,Haiti,HAI,39,834,252,350,232,429,405,13,212,407
285023_44005,Uzbekistan,Uzbekistan,UZB,40,801,197,382,222,456,345,16,246,458
285023_43860,Ghana,Ghana,GHA,41,772,277,242,253,397,375,26,235,494
285023_43817,IR Iran,IR Iran,IRN,42,761,227,264,270,356,405,28,229,446
285023_43820,Jordan,Jordan,JOR,43,741,210,323,208,351,390,27,186,465
285023_43995,Czechia,Czechia,CZE,44,740,232,305,203,371,369,19,245,439
285023_43928,Paraguay,Paraguay,PAR,45,734,187,296,251,371,363,20,258,646
285023_43835,Saudi Arabia,Saudi Arabia,KSA,46,707,207,276,224,386,321,24,244,523
285023_43834,Qatar,Qatar,QAT,47,643,169,285,189,347,296,22,146,361
285023_1895293,Curaçao,Curaçao,CUW,48,621,189,289,143,346,275,17,228,524
