person_id,name,team,team_abbreviation,rank,avg_speed,speed_runs,sprints,total_distance
285023_43995,Czechia,Czechia,CZE,1,6.33,4330,1381,348826.43
285023_43948,Germany,Germany,GER,2,6.29,5991,1990,508926.8
285023_43935,Belgium,Belgium,BEL,3,6.24,8583,3002,739536.58
285023_43921,USA,USA,USA,4,6.23,7252,2446,594895.11
285023_43978,New Zealand,New Zealand,NZL,5,6.22,4280,1492,349040.82
285023_43967,Scotland,Scotland,SCO,6,6.21,3766,1251,348567.52
285023_43976,Australia,Australia,AUS,7,6.13,5728,1900,494019.02
285023_43820,Jordan,Jordan,JOR,8,6.13,4296,1363,347325.19
285023_43961,Norway,Norway,NOR,9,6.13,7992,2761,733932.11
285023_43899,Canada,Canada,CAN,10,6.1,6943,2560,570460.28
285023_43972,Türkiye,Türkiye,TUR,11,6.1,3548,1289,350818.34
285023_43888,Tunisia,Tunisia,TUN,12,6.09,3503,1213,333260.77
285023_43822,Korea Republic,Korea Republic,KOR,13,6.09,3553,1298,334954.79
285023_43818,Iraq,Iraq,IRQ,14,6.09,3746,1209,328508.46
285023_43969,Spain,Spain,ESP,15,6.08,7541,2633,684540.12
285023_43817,IR Iran,IR Iran,IRN,16,6.08,4061,1347,344366.12
285023_43914,Panama,Panama,PAN,17,6.04,3745,1372,336713.09
285023_44037,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,18,6.04,4863,1756,453585.0
285023_43855,Egypt,Egypt,EGY,19,6.04,6907,2437,605207.25
285023_43819,Japan,Japan,JPN,20,6.02,4678,1669,446744.57
285023_43835,Saudi Arabia,Saudi Arabia,KSA,21,6.02,4110,1450,338484.3
285023_43911,Mexico,Mexico,MEX,22,6.01,6354,2190,563844.44
285023_43843,Algeria,Algeria,ALG,23,6.0,4980,1703,443965.4
285023_43934,Austria,Austria,AUT,24,5.99,5100,1776,451914.58
285023_43970,Sweden,Sweden,SWE,25,5.99,4426,1586,439790.02
285023_43938,Croatia,Croatia,CRO,26,5.98,5022,1827,452321.82
285023_43971,Switzerland,Switzerland,SUI,27,5.97,8333,2741,728266.23
285023_20014,Congo DR,Congo DR,COD,28,5.96,4983,1780,447455.88
285023_43942,England,England,ENG,29,5.96,7510,2711,703498.87
285023_43908,Haiti,Haiti,HAI,30,5.96,3975,1376,334085.63
285023_43946,France,France,FRA,31,5.95,6735,2377,658094.66
285023_44005,Uzbekistan,Uzbekistan,UZB,32,5.9,3793,1354,337440.01
285023_43928,Paraguay,Paraguay,PAR,33,5.9,6191,2141,592560.41
285023_43883,South Africa,South Africa,RSA,34,5.9,5039,1884,429068.84
285023_43924,Brazil,Brazil,BRA,35,5.88,6080,2110,561314.06
285023_43930,Uruguay,Uruguay,URU,36,5.88,3668,1448,337450.99
285023_43872,Morocco,Morocco,MAR,37,5.87,7445,2861,697958.1
285023_43850,Cabo Verde,Cabo Verde,CPV,38,5.87,4778,1681,476431.33
285023_43879,Senegal,Senegal,SEN,39,5.86,5363,2010,492777.45
285023_43963,Portugal,Portugal,POR,40,5.83,5836,2134,553476.36
285023_43854,Côte d'Ivoire,Côte d'Ivoire,CIV,41,5.81,4657,1692,434938.12
285023_43960,Netherlands,Netherlands,NED,42,5.77,4601,1590,455769.39
285023_43860,Ghana,Ghana,GHA,43,5.76,4489,1672,436806.59
285023_1895293,Curaçao,Curaçao,CUW,44,5.74,3093,1230,315767.46
285023_43927,Ecuador,Ecuador,ECU,45,5.72,4598,1793,426982.84
285023_43834,Qatar,Qatar,QAT,46,5.64,3584,1080,310036.75
285023_43926,Colombia,Colombia,COL,47,5.63,5978,2088,559976.76
285023_43922,Argentina,Argentina,ARG,48,5.61,7039,2435,706450.8
