match_id,time_minute,added_time,period,incident_type,incident_class,is_home,player,assist_player,player_in,player_out,home_score,away_score,rescinded
17,45.0,0.0,,injuryTime,,,,,,,,,
17,45.0,999.0,,period,,,,,,,0.0,0.0,
17,60.0,,,varDecision,penaltyNotAwarded,True,Kylian Mbappé,,,,,,
17,66.0,,,goal,regular,True,Kylian Mbappé,Michael Olise,,,1.0,0.0,
17,75.0,,,substitution,regular,False,,,Ibrahim Mbaye,Ismaïla Sarr,,,
17,76.0,,,substitution,regular,False,,,Habib Diarra,Lamine Camara,,,
17,80.0,,,substitution,regular,True,,,Bradley Barcola,Ousmane Dembélé,,,
17,82.0,,,goal,regular,True,Bradley Barcola,Adrien Rabiot,,,2.0,0.0,
17,83.0,,,substitution,regular,False,,,Iliman Ndiaye,Pape Gueye,,,
17,83.0,,,substitution,regular,False,,,Ahmadou Bamba Dieng,Nicolas Jackson,,,
17,87.0,,,substitution,regular,True,,,Rayan Cherki,Désiré Doué,,,
17,88.0,,,substitution,regular,False,,,Pathé Ismaël Ciss,Idrissa Gana Gueye,,,
17,90.0,0.0,,injuryTime,,,,,,,,,
17,90.0,5.0,,goal,regular,False,Ibrahim Mbaye,Iliman Ndiaye,,,2.0,1.0,
17,90.0,6.0,,goal,regular,True,Kylian Mbappé,,,,3.0,1.0,
17,90.0,999.0,,period,,,,,,,3.0,1.0,
22,11.0,,,varDecision,review,False,Dominik Livaković,,,,,,
22,12.0,,,goal,penalty,True,Harry Kane,,,,1.0,0.0,
22,36.0,,period1,goal,regular,False,Martin Baturina,Petar Sučić,,,1.0,1.0,
22,42.0,,period1,goal,regular,True,Harry Kane,Declan Rice,,,2.0,1.0,
22,45.0,0.0,,injuryTime,,,,,,,,,
22,45.0,5.0,period1,goal,regular,False,Petar Musa,Ivan Perišić,,,2.0,2.0,
22,45.0,999.0,,period,,,,,,,2.0,2.0,
22,47.0,,period2,goal,regular,True,Jude Bellingham,Elliot Anderson,,,3.0,2.0,
22,58.0,,,substitution,regular,False,,,Mateo Kovačić,Luka Modrić,,,
22,66.0,,,substitution,regular,False,,,Marco Pašalić,Luka Vušković,,,
22,66.0,,,substitution,regular,False,,,Igor Matanović,Petar Musa,,,
22,72.0,,,substitution,regular,True,,,Morgan Rogers,Declan Rice,,,
22,72.0,,,substitution,regular,True,,,Marcus Rashford,Anthony Gordon,,,
22,72.0,,,substitution,regular,True,,,Bukayo Saka,Noni Madueke,,,
22,78.0,,,substitution,regular,False,,,Andrej Kramarić,Mario Pašalić,,,
22,78.0,,,substitution,regular,False,,,Nikola Vlašić,Martin Baturina,,,
22,79.0,,,substitution,regular,True,,,Djed Spence,Jude Bellingham,,,
22,85.0,,period2,goal,regular,True,Marcus Rashford,Bukayo Saka,,,4.0,2.0,
22,87.0,,,substitution,regular,True,,,Marc Guéhi,John Stones,,,
22,90.0,0.0,,injuryTime,,,,,,,,,
22,90.0,999.0,,period,,,,,,,4.0,2.0,
5,16.0,,,card,yellow,True,Mahmud Abunada,,,,,,False
5,16.0,,,varDecision,penaltyAwarded,False,Remo Freuler,,,,,,
5,17.0,,,goal,penalty,False,Breel Embolo,,,,0.0,1.0,
5,23.0,,,card,yellow,True,Jassem Gaber Abdulsallam,,,,,,False
5,42.0,,,card,yellow,False,Denis Zakaria,,,,,,False
5,45.0,0.0,,injuryTime,,,,,,,,,
5,45.0,999.0,,period,,,,,,,0.0,1.0,
5,60.0,,,substitution,regular,True,,,Ahmed Fathi,Ayoub Al Oui,,,
5,60.0,,,substitution,regular,True,,,Karim Boudiaf,Jassem Gaber Abdulsallam,,,
5,60.0,,,substitution,regular,True,,,Ahmed Alaaeldin,Yusuf Abdurisag,,,
5,65.0,,,substitution,regular,False,,,Fabian Rieder,Michel Aebischer,,,
5,65.0,,,substitution,regular,False,,,Johan Manzambi,Dan Ndoye,,,
5,79.0,,,substitution,regular,True,,,Mohamed Naceur Almanai,Assim Madibo,,,
5,79.0,,,substitution,regular,False,,,Zeki Amdouni,Rubén Vargas,,,
5,88.0,,,substitution,regular,True,,,Hassan Al Haydos,Edmilson Junior,,,
5,89.0,,,substitution,regular,False,,,Ardon Jashari,Remo Freuler,,,
5,89.0,,,substitution,regular,False,,,Miro Muheim,Ricardo Rodríguez,,,
5,90.0,0.0,,injuryTime,,,,,,,,,
5,90.0,4.0,,goal,ownGoal,True,Miro Muheim,,,,1.0,1.0,
5,90.0,999.0,,period,,,,,,,1.0,1.0,
23,16.0,,,card,yellow,True,Caleb Yirenkyi,,,,,,False
23,45.0,0.0,,injuryTime,,,,,,,,,
23,45.0,999.0,,period,,,,,,,0.0,0.0,
23,46.0,,,substitution,injury,True,,,Benjamin Asare,Lawrence Ati Zigi,,,
23,58.0,,,substitution,regular,True,,,Brandon Thomas-Asante,Kamaldeen Sulemana,,,
23,58.0,,,substitution,regular,True,,,Abdul Fatawu Issahaku,Ernest Nuamah,,,
23,63.0,,,substitution,regular,False,,,José Fajardo,Cecilio Waterman,,,
23,63.0,,,substitution,regular,False,,,Azarias Londoño,Cristian Martínez,,,
23,72.0,,,card,yellow,False,César Blackman,,,,,,False
23,74.0,,,substitution,regular,False,,,Ismael Díaz,José Luis Rodríguez,,,
23,78.0,,,substitution,regular,True,,,Kwasi Sibo,Elisha Owusu,,,
23,87.0,,,substitution,regular,True,,,Prince Kwabena Adu,Jordan Ayew,,,
23,90.0,0.0,,injuryTime,,,,,,,,,
23,90.0,,,substitution,regular,False,,,Aníbal Godoy,César Blackman,,,
23,90.0,5.0,,goal,regular,True,Caleb Yirenkyi,,,,1.0,0.0,
23,90.0,9.0,,card,yellow,False,Carlos Harvey,,,,,,False
23,90.0,999.0,,period,,,,,,,1.0,0.0,
21,6.0,,,goal,regular,True,João Neves,Pedro Neto,,,1.0,0.0,
21,13.0,,,card,yellow,True,Bernardo Silva,,,,,,False
21,32.0,,,card,yellow,False,Chancel Mbemba,,,,,,False
21,45.0,0.0,,injuryTime,,,,,,,,,
21,45.0,5.0,,goal,regular,False,Yoane Wissa,Arthur Masuaku,,,1.0,1.0,
21,45.0,999.0,,period,,,,,,,1.0,1.0,
21,46.0,,,substitution,regular,True,,,Francisco Conceição,Bernardo Silva,,,
21,57.0,,,substitution,regular,False,,,Noah Sadiki,Ngal'ayel Mukau,,,
21,71.0,,,substitution,regular,True,,,Rafael Leão,Pedro Neto,,,
21,72.0,,,substitution,regular,True,,,Nélson Semedo,Nuno Mendes,,,
21,74.0,,,substitution,regular,False,,,Charles Pickel,Edo Kayembe,,,
21,74.0,,,substitution,regular,False,,,Joris Kayembe,Arthur Masuaku,,,
21,83.0,,,substitution,regular,True,,,Gonçalo Ramos,Vitinha,,,
21,85.0,,,substitution,regular,False,,,Gedeon Kalulu,Aaron Wan-Bissaka,,,
21,85.0,,,substitution,regular,False,,,Simon Banza,Cédric Bakambu,,,
21,88.0,,,card,yellow,True,Nélson Semedo,,,,,,False
21,90.0,0.0,,injuryTime,,,,,,,,,
21,90.0,2.0,,card,yellow,True,Tomás Araújo,,,,,,False
21,90.0,999.0,,period,,,,,,,1.0,1.0,
1,9.0,,,goal,regular,True,Julián Quiñones,Erik Lira,,,1.0,0.0,
1,17.0,,,card,yellow,False,Teboho Mokoena,,,,,,False
1,23.0,,,card,yellow,True,Brian Gutiérrez,,,,,,False
1,45.0,0.0,,injuryTime,,,,,,,,,
1,45.0,999.0,,period,,,,,,,1.0,0.0,
1,49.0,,,card,red,False,Sphephelo Sithole,,,,,,False
1,56.0,,,substitution,regular,False,,,Thalente Mbatha,Lyle Foster,,,
1,61.0,,,substitution,regular,False,,,Themba Zwane,Jayden Adams,,,
1,66.0,,,substitution,regular,True,,,Luis Chávez,Brian Gutiérrez,,,
1,66.0,,,substitution,regular,True,,,Gilberto Mora,Álvaro Fidalgo,,,
1,67.0,,,goal,regular,True,Raúl Jiménez,Roberto Alvarado,,,2.0,0.0,
1,74.0,,,card,yellow,False,Nkosinathi Sibisi,,,,,,False
1,76.0,,,substitution,regular,True,,,Edson Álvarez,Erik Lira,,,
1,76.0,,,substitution,regular,True,,,Armando González,Raúl Jiménez,,,
1,77.0,,,substitution,regular,False,,,Evidence Makgopa,Iqraam Rayners,,,
1,77.0,,,substitution,regular,False,,,Oswin Appollis,Aubrey Modiba,,,
1,79.0,,,substitution,regular,True,,,Alexis Vega,Julián Quiñones,,,
1,82.0,,,varDecision,cardUpgrade,False,Themba Zwane,,,,,,
1,84.0,,,card,red,False,Themba Zwane,,,,,,False
1,90.0,0.0,,injuryTime,,,,,,,,,
1,90.0,2.0,,card,red,True,César Montes,,,,,,False
1,90.0,999.0,,period,,,,,,,2.0,0.0,
2,45.0,0.0,,injuryTime,,,,,,,,,
2,45.0,999.0,,period,,,,,,,0.0,0.0,
2,59.0,,,goal,regular,False,Ladislav Krejčí,Vladimír Coufal,,,0.0,1.0,
2,62.0,,,substitution,regular,True,,,Hwang Hee-chan,Jae-sung Lee,,,
2,64.0,,,substitution,regular,False,,,Adam Hložek,Pavel Šulc,,,
2,64.0,,,substitution,regular,False,,,Tomáš Chorý,Patrik Schick,,,
2,64.0,,,substitution,regular,False,,,Michal Sadílek,Lukáš Provod,,,
2,67.0,,,goal,regular,True,Hwang In-beom,Kang-in Lee,,,1.0,1.0,
2,69.0,,,substitution,regular,True,,,Ji-sung Eom,Lee Tae-seok,,,
2,69.0,,,substitution,regular,True,,,Hyeon-gyu Oh,Son Heung-min,,,
2,80.0,,,goal,regular,True,Hyeon-gyu Oh,Hwang In-beom,,,2.0,1.0,
2,84.0,,,substitution,regular,True,,,Jin-gyu Kim,Hwang In-beom,,,
2,84.0,,,substitution,regular,True,,,Jin-seob Park,Seung Ho Paik,,,
2,84.0,,,substitution,regular,False,,,Mojmír Chytil,Alexandr Sojka,,,
2,90.0,0.0,,injuryTime,,,,,,,,,
2,90.0,6.0,,card,yellow,True,Gi-Hyuk Lee,,,,,,False
2,90.0,999.0,,period,,,,,,,2.0,1.0,
24,7.0,,,card,yellow,False,Johan Mojica,,,,,,False
24,34.0,,,card,yellow,True,Abdukodir Khusanov,,,,,,False
24,41.0,,period1,goal,regular,False,Daniel Muñoz,Luis Díaz,,,0.0,1.0,
24,45.0,0.0,,injuryTime,,,,,,,,,
24,45.0,999.0,,period,,,,,,,0.0,1.0,
24,46.0,,,substitution,regular,True,,,Dostonbek Khamdamov,Oston Urunov,,,
24,46.0,,,substitution,regular,True,,,Farrukh Sayfiev,Sherzod Nasrullaev,,,
24,61.0,,period2,goal,regular,True,Abbosbek Fayzullaev,,,,1.0,1.0,
24,66.0,,period2,goal,regular,False,Luis Díaz,Gustavo Puerta,,,1.0,2.0,
24,72.0,,,substitution,regular,False,,,Jaminton Campaz,James Rodríguez,,,
24,77.0,,,substitution,regular,True,,,Azizbek Amanov,Abbosbek Fayzullaev,,,
24,77.0,,,substitution,injury,True,,,Jakhongir Urozov,Rustam Ashurmatov,,,
24,80.0,,,substitution,regular,False,,,Richard Ríos,Gustavo Puerta,,,
24,80.0,,,substitution,regular,False,,,Cucho Hernández,Luis Javier Suárez,,,
24,90.0,0.0,,injuryTime,,,,,,,,,
24,90.0,3.0,,substitution,regular,False,,,Andrés Gómez,Luis Díaz,,,
24,90.0,3.0,,substitution,regular,False,,,Kevin Castaño,Jhon Arias,,,
24,90.0,3.0,,substitution,regular,True,,,Igor Sergeev,Eldor Shomurodov,,,
24,90.0,9.0,period2,goal,regular,False,Jaminton Campaz,Cucho Hernández,,,1.0,3.0,
24,90.0,999.0,,period,,,,,,,1.0,3.0,
20,20.0,,period1,goal,regular,True,Romano Schmid,Xaver Schlager,,,1.0,0.0,
20,45.0,0.0,,injuryTime,,,,,,,,,
20,45.0,999.0,,period,,,,,,,1.0,0.0,
20,46.0,,,substitution,regular,True,,,Marko Arnautović,Saša Kalajdžić,,,
20,50.0,,period2,goal,regular,False,Ali Olwan,Noor Al-Rawabdeh,,,1.0,1.0,
20,59.0,,,substitution,regular,True,,,Paul Wanner,Phillipp Mwene,,,
20,59.0,,,substitution,regular,True,,,Carney Chukwuemeka,Xaver Schlager,,,
20,59.0,,,substitution,regular,True,,,Kevin Danso,David Alaba,,,
20,69.0,,,varDecision,goalAwarded,True,Marko Arnautović,,,,,,
20,72.0,,,substitution,regular,False,,,Saleem Obaid,Mo Abualnadi,,,
20,76.0,,period2,goal,ownGoal,True,Yazan Al-Arab,,,,2.0,1.0,
20,77.0,,,card,yellow,True,Marcel Sabitzer,,,,,,False
20,81.0,,,substitution,regular,False,,,Saad Al Rousan,Abdallah Nasib,,,
20,81.0,,,substitution,regular,False,,,Mahmoud Al-Mardi,Ehsan Haddad,,,
20,83.0,,,substitution,regular,True,,,Patrick Wimmer,Romano Schmid,,,
20,88.0,,,substitution,regular,False,,,Mohammad Al Daoud,Mousa Tamari,,,
20,88.0,,,substitution,regular,False,,,Ali Al Azaizeh,Odeh Fakhoury,,,
20,90.0,0.0,,injuryTime,,,,,,,,,
20,90.0,12.0,period2,goal,penalty,True,Marko Arnautović,,,,3.0,1.0,
20,90.0,999.0,,period,,,,,,,3.0,1.0,
18,29.0,,,goal,regular,False,Erling Haaland,David Møller Wolfe,,,0.0,1.0,
18,39.0,,,goal,regular,True,Aymen Hussein,Amir Al-Ammari,,,1.0,1.0,
18,43.0,,,goal,regular,False,Erling Haaland,,,,1.0,2.0,
18,45.0,0.0,,injuryTime,,,,,,,,,
18,45.0,999.0,,period,,,,,,,1.0,2.0,
18,59.0,,,substitution,regular,True,,,Zidane Iqbal,Zaid Ismail,,,
18,59.0,,,substitution,regular,True,,,Marko Farji,Ali Al-Hamadi,,,
18,73.0,,,substitution,regular,False,,,Andreas Schjelderup,Antonio Nusa,,,
18,73.0,,,substitution,regular,False,,,Kristian Thorstvedt,Fredrik Aursnes,,,
18,73.0,,,substitution,injury,False,,,Leo Østigård,David Møller Wolfe,,,
18,73.0,,,substitution,regular,False,,,Oscar Bobb,Alexander Sørloth,,,
18,73.0,,,substitution,regular,True,,,Mustafa Saadoon,Hussein Ali,,,
18,73.0,,,substitution,injury,True,,,Ahmed Qasem,Ali Jasim,,,
18,76.0,,,goal,regular,False,Leo Østigård,Martin Ødegaard,,,1.0,3.0,
18,78.0,,,substitution,regular,True,,,Mohanad Ali,Ibrahim Bayesh,,,
18,81.0,,,substitution,regular,False,,,Patrick Berg,Martin Ødegaard,,,
18,86.0,,,card,yellow,True,Zaid Tahseen,,,,,,False
18,90.0,0.0,,injuryTime,,,,,,,,,
18,90.0,6.0,,goal,ownGoal,False,Aymen Hussein,,,,1.0,4.0,
18,90.0,999.0,,period,,,,,,,1.0,4.0,
13,16.0,,,card,yellow,False,Sidny Lopes Cabral,,,,,,False
13,45.0,0.0,,injuryTime,,,,,,,,,
13,45.0,999.0,,period,,,,,,,0.0,0.0,
13,61.0,,,substitution,injury,False,,,Willy Semedo,Jovane Cabral,,,
13,61.0,,,substitution,regular,False,,,Deroy Duarte,Laros Duarte,,,
13,61.0,,,substitution,regular,False,,,Nuno Da Costa,Dailon Rocha Livramento,,,
13,71.0,,,substitution,regular,True,,,Mikel Merino,Fabián Ruiz,,,
13,71.0,,,substitution,regular,True,,,Lamine Yamal,Pablo Gavi,,,
13,76.0,,,substitution,regular,False,,,João Paulo,Sidny Lopes Cabral,,,
13,79.0,,,substitution,regular,False,,,Telmo Arcanjo,Jamiro Monteiro,,,
13,81.0,,,substitution,regular,True,,,Dani Olmo,Ferran Torres,,,
13,87.0,,,substitution,regular,True,,,Nico Williams,Rodri,,,
13,90.0,0.0,,injuryTime,,,,,,,,,
13,90.0,3.0,,card,yellow,True,Pedri,,,,,,False
13,90.0,999.0,,period,,,,,,,0.0,0.0,
39,5.0,,,card,yellow,False,Sidny Lopes Cabral,,,,,,False
39,20.0,,,card,yellow,True,Rodrigo Bentancur,,,,,,False
39,21.0,,,goal,regular,False,Kevin Lenini,,,,0.0,1.0,
39,44.0,,,goal,regular,True,Maximiliano Araújo,,,,1.0,1.0,
39,45.0,0.0,,injuryTime,,,,,,,,,
39,45.0,6.0,,goal,regular,True,Agustín Canobbio,Maximiliano Araújo,,,2.0,1.0,
39,45.0,999.0,,period,,,,,,,2.0,1.0,
39,46.0,,,substitution,injury,False,,,Deroy Duarte,Telmo Arcanjo,,,
39,58.0,,,card,yellow,True,Mathías Olivera,,,,,,False
39,58.0,,,substitution,regular,False,,,Nuno Da Costa,Gilson Tavares,,,
39,58.0,,,substitution,regular,False,,,Hélio Varela,Garry Rodrigues,,,
39,61.0,,,goal,regular,False,Hélio Varela,,,,2.0,2.0,
39,69.0,,,varDecision,goalNotAwarded,True,Maximiliano Araújo,,,,,,
39,70.0,,,substitution,regular,True,,,Darwin Núñez,Federico Viñas,,,
39,70.0,,,substitution,regular,True,,,Nicolás de la Cruz,Manuel Ugarte,,,
39,71.0,,,substitution,injury,False,,,Laros Duarte,Kevin Lenini,,,
39,80.0,,,substitution,injury,False,,,Yannick Semedo,Jamiro Monteiro,,,
39,81.0,,,substitution,regular,True,,,Brian Rodríguez,Maximiliano Araújo,,,
