match_id,player_id,team_id,is_home,time_minute,added_time,shot_type,situation,body_part,goal_type,xg,xgot,player_x,player_y
17,576,34,False,7,,block,assisted,right-foot,,0.0362,0.0,9.6,67.3
17,158,33,True,19,,block,assisted,left-foot,,0.0215,0.0,22.8,68.0
17,8758,34,False,25,,post,fast-break,left-foot,,0.1289,0.0,10.4,31.3
17,576,34,False,31,,miss,assisted,right-foot,,0.0447,0.0,18.1,56.0
17,571,34,False,40,,save,assisted,right-foot,,0.0342,0.011,26.5,51.1
17,576,34,False,45,6.0,miss,regular,right-foot,,0.1944,0.0,7.7,55.0
17,29917,33,True,47,,miss,assisted,left-foot,,0.0367,0.0,22.8,46.6
17,29921,33,True,53,,save,assisted,left-foot,,0.3735,0.2469,10.8,39.5
17,149,33,True,57,,save,assisted,right-foot,,0.3788,0.2422,11.3,44.0
17,8970,33,True,65,,block,assisted,left-foot,,0.1154,0.0,14.7,43.2
17,149,33,True,66,,goal,assisted,right-foot,regular,0.2882,0.3383,7.6,61.7
17,29921,33,True,72,,save,regular,left-foot,,0.0304,0.0506,19.7,64.4
17,29917,33,True,74,,save,assisted,left-foot,,0.0185,0.1745,9.2,28.4
17,29918,33,True,82,,goal,fast-break,right-foot,regular,0.5027,0.5855,9.5,64.0
17,149,33,True,85,,save,assisted,left-foot,,0.097,0.2303,15.3,48.3
17,30415,34,False,90,5.0,goal,fast-break,right-foot,regular,0.0619,0.1016,9.8,69.8
17,149,33,True,90,6.0,goal,regular,right-foot,regular,0.0275,0.0902,27.4,53.6
22,9176,46,False,3,,miss,corner,right-foot,,0.1663,0.0,7.5,44.2
22,463,45,True,8,,block,regular,right-foot,,0.0368,0.0,16.9,47.4
22,29911,45,True,9,,miss,corner,head,,0.0286,0.0,10.4,48.9
22,463,45,True,10,,save,penalty,right-foot,,0.7884,0.9749,11.5,50.0
22,463,45,True,12,,goal,penalty,right-foot,penalty,0.7884,0.6324,11.5,50.0
22,29893,45,True,16,,block,assisted,right-foot,,0.0666,0.0,6.1,67.7
22,29901,45,True,16,,block,corner,right-foot,,0.0429,0.0,22.9,43.7
22,8799,45,True,31,,miss,assisted,left-foot,,0.257,0.0,8.1,45.9
22,463,45,True,35,,miss,regular,head,,0.0627,0.0,9.0,46.3
22,29740,46,False,36,,goal,assisted,right-foot,regular,0.0527,0.049,21.0,64.8
22,463,45,True,42,,goal,corner,head,regular,0.0413,0.2336,9.9,48.4
22,29903,45,True,45,1.0,block,free-kick,right-foot,,0.0398,0.0,27.5,47.7
22,9177,46,False,45,4.0,miss,assisted,right-foot,,0.0118,0.0,29.7,63.6
22,29736,46,False,45,5.0,goal,assisted,right-foot,regular,0.1774,0.1488,8.3,43.0
22,8799,45,True,47,,goal,assisted,right-foot,regular,0.0484,0.5203,8.7,68.0
22,8799,45,True,48,,save,assisted,right-foot,,0.1274,0.1333,14.5,44.1
22,29904,45,True,49,,miss,corner,head,,0.1421,0.0,4.8,57.0
22,8809,45,True,52,,save,fast-break,right-foot,,0.0418,0.0934,16.3,31.2
22,29892,45,True,56,,save,corner,head,,0.2408,0.2876,3.6,53.8
22,29904,45,True,56,,save,corner,head,,0.0252,0.0395,7.8,58.8
22,29911,45,True,56,,save,corner,right-foot,,0.3385,0.4617,3.7,49.5
22,463,45,True,57,,miss,assisted,right-foot,,0.065,0.0,6.1,31.0
22,463,45,True,57,,save,assisted,left-foot,,0.0216,0.0247,6.4,29.2
22,29892,45,True,69,,block,assisted,right-foot,,0.0254,0.0,13.0,31.9
22,29745,46,False,76,,save,assisted,left-foot,,0.0578,0.0444,8.8,68.4
22,29735,46,False,77,,save,throw-in-set-piece,right-foot,,0.0192,0.2418,29.9,48.8
22,29741,46,False,81,,miss,regular,right-foot,,0.0115,0.0,24.6,63.6
22,29909,45,True,82,,save,assisted,right-foot,,0.3569,0.2748,12.2,57.6
22,227,46,False,84,,save,regular,right-foot,,0.0247,0.1041,25.3,56.4
22,477,45,True,85,,goal,assisted,right-foot,regular,0.0573,0.5027,12.8,39.3
22,9165,46,False,90,5.0,block,corner,right-foot,,0.1743,0.0,5.0,43.1
