match_id,team_id,is_home,possession_pct,expected_goals,big_chances,big_chances_missed,shots_total,shots_on_target,shots_off_target,shots_blocked,shots_inside_box,shots_outside_box,hit_woodwork,corners,offsides,fouls,yellow_cards,passes_total,passes_accurate,passes_final_third,long_balls_total,long_balls_accurate,crosses_total,crosses_accurate,tackles,interceptions,clearances,saves,ground_duels_won,ground_duels_total,aerial_duels_won,aerial_duels_total,dribbles_completed,dribbles_total,throw_ins,goal_kicks,free_kicks
17,33,True,54,1.89,4.0,2.0,11,8,1,2,7,4,0,6,1.0,5,,576,505,61,46,21,9,0,18,7,14,2,31,58,12,20,5,16,9,7,9
17,34,False,46,0.5,2.0,2.0,6,2,3,1,4,2,1,4,3.0,9,,497,427,56,48,25,9,1,14,8,17,5,27,58,8,20,8,13,21,4,5
22,45,True,52,2.8,7.0,5.0,22,11,6,5,20,2,0,8,0.0,10,,473,406,40,42,16,13,6,9,7,16,3,26,51,12,28,5,12,15,6,11
22,46,False,48,0.71,2.0,1.0,10,5,3,2,4,6,0,2,1.0,12,,442,380,32,42,18,13,2,11,7,17,7,25,51,16,28,4,9,18,7,10
5,7,True,32,0.64,1.0,1.0,6,3,3,0,4,2,0,3,0.0,12,2.0,278,200,38,64,19,9,1,14,11,31,5,26,53,10,20,2,4,14,12,11
5,8,False,68,3.24,6.0,5.0,26,7,10,9,18,8,0,10,1.0,11,1.0,577,526,80,35,27,35,6,8,7,13,3,27,53,10,20,7,13,17,5,11
23,47,True,38,1.31,1.0,0.0,8,2,4,2,7,1,0,2,4.0,9,1.0,353,292,64,51,29,16,4,16,8,26,4,35,79,20,32,8,23,21,10,11
23,48,False,62,0.75,2.0,2.0,11,4,5,2,6,5,0,2,1.0,11,2.0,582,502,66,73,37,21,4,29,5,18,2,44,79,12,32,6,13,23,9,9
21,41,True,75,0.64,1.0,,7,1,4,2,5,2,0,5,3.0,9,3.0,783,724,101,63,41,23,6,12,3,10,1,25,59,9,17,5,12,16,5,10
21,44,False,25,0.83,1.0,,8,2,3,3,2,6,0,4,2.0,10,1.0,250,195,35,41,11,9,1,17,5,27,0,34,59,8,17,8,15,15,8,9
1,1,True,61,1.41,2.0,,16,4,7,5,9,7,1,3,1.0,12,1.0,520,467,56,49,32,12,5,10,8,15,2,29,55,14,21,8,13,21,5,11
1,2,False,39,0.07,0.0,,3,2,1,0,1,2,0,1,1.0,11,2.0,335,272,39,46,17,8,1,14,7,17,2,26,55,7,21,1,5,11,8,12
2,3,True,62,1.84,4.0,2.0,15,6,5,4,10,5,0,4,2.0,9,1.0,542,469,65,61,30,12,3,7,11,30,3,29,50,27,42,8,14,26,4,16
2,4,False,38,0.85,1.0,0.0,8,4,4,1,5,3,0,5,2.0,16,0.0,324,229,51,68,23,15,3,9,7,22,4,21,50,15,42,3,6,16,8,9
24,43,True,39,1.16,1.0,0.0,8,2,4,2,4,4,2,3,0.0,14,1.0,318,242,52,52,16,13,3,10,7,26,1,24,52,11,19,5,10,24,10,11
24,42,False,61,1.62,4.0,1.0,15,4,7,4,10,5,1,4,3.0,11,1.0,520,445,56,49,17,15,6,10,6,19,1,28,52,8,19,5,11,26,8,14
20,39,True,63,1.66,3.0,2.0,11,4,6,1,6,5,0,4,3.0,12,1.0,580,488,63,48,20,17,3,18,14,23,3,27,66,16,25,3,12,21,3,6
20,40,False,37,0.53,0.0,0.0,11,4,5,2,7,4,1,3,1.0,7,0.0,330,241,40,50,22,15,3,15,12,39,1,39,66,9,25,15,24,19,10,12
18,35,True,39,0.77,1.0,1.0,11,1,8,2,8,3,0,2,1.0,12,1.0,333,271,43,53,22,13,6,19,5,21,2,42,74,10,26,10,22,14,10,13
18,36,False,61,2.53,5.0,2.0,12,5,4,3,11,1,0,5,0.0,13,0.0,536,476,45,42,18,17,7,16,3,22,0,32,74,16,26,5,18,22,9,12
13,29,True,74,2.1,2.0,2.0,27,7,12,8,16,11,1,11,2.0,10,1.0,800,734,84,30,24,36,6,13,6,7,1,21,52,19,28,7,13,18,5,1
13,30,False,26,0.2,1.0,1.0,6,1,3,2,2,4,0,1,3.0,1,1.0,278,205,26,56,19,4,1,18,15,46,7,31,52,9,28,4,11,14,14,10
39,32,True,65,2.34,2.0,,17,2,8,7,9,8,1,11,3.0,11,2.0,511,419,74,49,23,29,4,16,8,11,2,27,66,20,37,7,18,30,4,4
39,30,False,35,0.86,1.0,,12,4,4,4,2,10,0,4,0.0,4,2.0,277,205,30,61,18,7,2,16,13,47,0,39,66,17,37,12,18,19,12,11
15,31,True,33,0.99,1.0,0.0,7,3,3,1,4,3,0,4,0.0,11,1.0,320,234,29,41,10,7,3,12,8,42,9,20,42,21,41,3,4,18,10,6
15,32,False,67,1.54,2.0,1.0,27,10,10,7,16,11,1,14,6.0,6,0.0,611,539,65,41,24,47,16,3,10,18,2,22,42,20,41,8,13,20,3,11
16,27,True,48,1.5,3.0,1.0,17,4,8,5,10,7,1,4,2.0,10,1.0,405,312,56,63,29,19,6,16,13,27,6,28,57,23,39,4,10,25,4,8
16,28,False,52,1.24,2.0,0.0,14,8,4,2,10,4,0,1,0.0,8,0.0,446,377,47,40,21,12,1,14,15,24,2,29,57,16,39,6,14,16,11,10
